Name,Grade,Scale,Universe,JAPCODE,Series,Release_date,Cost(yen)
Kensei Gundam -Kirahagane Gokusai- (SD)  ,Super Deformed,No Scale,SD,4543112653888,SD Gundam Sangokuden Brave Battle Warriors,10/28/2010,¥1080
Suisei Gundam -Kirahagane Gokusai- (SD)  ,Super Deformed,No Scale,SD,4543112653895,SD Gundam Sangokuden Brave Battle Warriors,10/28/2010,¥540
Guren Gundam -Kirahagane Gokusai- (SD)  ,Super Deformed,No Scale,SD,4543112653901,SD Gundam Sangokuden Brave Battle Warriors,10/28/2010,¥540
Kaiser Gundam -Kirahagane Gokusai- (SD)  ,Super Deformed,No Scale,SD,4543112653918,SD Gundam Sangokuden Brave Battle Warriors,10/28/2010,¥540
Tensei Daishogun -Kirahagane Gokusai- (SD)  ,Super Deformed,No Scale,SD,4543112653925,SD Gundam Sangokuden Brave Battle Warriors,10/28/2010,¥2160
SD Shin Sangokuden Trinity Set (RyuteiKen Awakening Ver.)  ,Super Deformed,No Scale,SD,4543112655011,BB Senshi Sengokuden: Brave Battle Warriors,11/27/2010,¥2160
HGUC MS-07B-3 Gouf Custom  ,High Grade,1/144,Universal Century,4543112655035,Mobile Suit Gundam: The 08th MS Team,11/06/2010,¥1728
SD Shin Kakuka Virsago  ,Super Deformed,No Scale,SD,4543112655042,BB Senshi Sengokuden: Brave Battle Warriors,11/27/2010,¥648
"SD Shin Ryomo Dijeh, Kannei Kampfer, Assault Navy Set  ",Super Deformed,No Scale,SD,4543112655059,BB Senshi Sengokuden: Brave Battle Warriors,11/06/2010,¥1944
PG Strike Freedom Gundam  ,Perfect Grade,1/60,Cosmic Era,4543112655066,Mobile Suit Gundam SEED Destiny,12/11/2010,¥27000
RG MS-06S Char's Zaku  ,Real Grade,1/144,Universal Century,4543112655110,Mobile Suit Gundam,11/27/2010,¥2700
Gouenbui Daishogun -Kirahagane Gokusai- (SD)  ,Super Deformed,No Scale,SD,4543112655172,BB Senshi Sengokuden: Brave Battle Warriors,10/28/2010,¥3780
SD 00 QAN[T]  ,Super Deformed,No Scale,Anno Domini,4543112655660,Mobile Suit Gundam 00,12/11/2010,¥864
MG GNT-0000 00 QAN[T]  ,Master Grade,1/100,Anno Domini,4543112656544,Mobile Suit Gundam 00,11/20/2010,¥4860
SD Shin Choko Zaku III  ,Super Deformed,No Scale,SD,4543112656551,BB Senshi Sengokuden: Brave Battle Warriors,12/24/2010,¥648
SD Shin Kanpei Gundam  ,Super Deformed,No Scale,SD,4543112656568,BB Senshi Sengokuden: Brave Battle Warriors,12/24/2010,¥648
SD Shin Koumei Re-GZ  ,Super Deformed,No Scale,SD,4543112656575,BB Senshi Sengokuden: Brave Battle Warriors,12/24/2010,¥648
SD Shin Gurenso Soso Gundam Tengyokugai Enho  ,Super Deformed,No Scale,SD,4543112656582,BB Senshi Sengokuden: Brave Battle Warriors,12/11/2010,¥1944
HGFC Nobel Gundam  ,High Grade,1/144,Future Century,4543112656605,Mobile Fighter G Gundam,01/09/2011,¥1620
HGAW Gundam X Divider  ,High Grade,1/144,After War,4543112656612,After War Gundam X,12/18/2010,¥1944
1/48 Mega Size Model Char's Zaku  ,Mega Size,1/48,Universal Century,4543112656636,Mobile Suit Gundam,12/24/2010,¥8424
HGUC RGM-79N GM Custom  ,High Grade,1/144,Universal Century,4543112667847,Mobile Suit Gundam 0083: Stardust Memory,01/22/2011,¥1404
SD Shin Shouretsutei Ryuso Ryubi Gundam Ryukiho Tekiro  ,Super Deformed,No Scale,SD,4543112667854,BB Senshi Sengokuden: Brave Battle Warriors,01/22/2011,¥2700
MG RGZ-95C ReZEL Commander  ,Master Grade,1/100,Universal Century,4543112667861,Mobile Suit Gundam UC,01/15/2011,¥5400
Gundam Decal (HGUC) for Sinanju  ,High Grade,1/144,Universal Century,4543112667991,Mobile Suit Gundam UC,12/24/2010,¥432
Gundam Decal (MG) for Gundam Deathscythe EW Ver.  ,Master Grade,1/100,After Colony,4543112668028,New Mobile Report Gundam Wing: Endless Waltz,12/24/2010,¥432
SD Shin Kogai Gouf  ,Super Deformed,No Scale,SD,4543112670724,BB Senshi Sengokuden: Brave Battle Warriors,01/29/2011,¥648
SD Shin Gurenso Soso Gundam VS Shin Mokoso Sonken Gundam [Battle of Red Cliffs Set]  ,Super Deformed,No Scale,SD,4543112670762,BB Senshi Sengokuden: Brave Battle Warriors,02/19/2011,¥2700
E.F.S.F. Multidiscipline Light Fighter FF-X7 Core Fighter  ,U.C. Hard Graph,1/35,Universal Century,4543112670779,Mobile Suit Gundam,02/26/2011,¥4860
MG Gundam Deathscythe-Hell EW Ver.  ,Master Grade,1/100,After Colony,4543112670786,New Mobile Report Gundam Wing: Endless Waltz,02/26/2011,¥4860
SD Shin Goka Syourettei Ryuso Ryubi Gundam  ,Super Deformed,No Scale,SD,4543112670847,BB Senshi Sengokuden: Brave Battle Warriors,03/05/2011,¥4320
SD Sinanju  ,Super Deformed,No Scale,Universal Century,4543112670878,Mobile Suit Gundam UC,03/05/2011,¥1080
HGUC Geara Zulu (Guards Type)  ,High Grade,1/144,Universal Century,4543112670885,Mobile Suit Gundam UC,03/05/2011,¥2160
MG XXXG-01S Shenlong Gundam EW Ver.  ,Master Grade,1/100,After Colony,4543112670892,New Mobile Report Gundam Wing: Endless Waltz,03/26/2011,¥4104
SD Shin Shouretsutei Ryuso Ryubi Gundam Tengyokugai Souryu  ,Super Deformed,No Scale,SD,4543112670908,BB Senshi Sengokuden: Brave Battle Warriors,03/19/2011,¥3780
1/48 Mega Size Model Zaku II  ,Mega Size,1/48,Universal Century,4543112694805,Mobile Suit Gundam,03/12/2011,¥8424
HGUC Unicorn Gundam Destroy Mode Titanium Finish  ,High Grade,1/144,Universal Century,4543112694829,Mobile Suit Gundam UC,03/19/2011,¥4536
HGUC MSN-06S Sinanju Titanium Finish  ,High Grade,1/144,Universal Century,4543112694836,Mobile Suit Gundam UC,03/19/2011,¥5616
MG XXXG-01W Wing Gundam EW Ver.  ,Master Grade,1/100,After Colony,4543112694898,New Mobile Report Gundam Wing: Endless Waltz,03/26/2011,¥3780
HGUC Jegan (ECOAS Type)  ,High Grade,1/144,Universal Century,4543112694911,Mobile Suit Gundam UC,04/09/2011,¥1728
RG GAT-X105 Aile Strike Gundam  ,Real Grade,1/144,Cosmic Era,4543112694928,Mobile Suit Gundam SEED,04/30/2011,¥2700
MG GN-0000+GNR-010 00 Raiser  ,Master Grade,1/100,Anno Domini,4543112699145,Mobile Suit Gundam 00,05/28/2011,¥7020
HGUC Dreissen (Unicorn Ver.)  ,High Grade,1/144,Universal Century,4543112701206,Mobile Suit Gundam UC,05/21/2011,¥2160
MG OZ-13MS Gundam Epyon (EW ver.)  ,Master Grade,1/100,After Colony,4543112703798,New Mobile Report Gundam Wing: Endless Waltz,06/25/2011,¥5184
SD Wing Gundam EW  ,Super Deformed,No Scale,After Colony,4543112703811,New Mobile Report Gundam Wing: Endless Waltz,06/11/2011,¥864
HGUC RGC-83 GM Cannon II  ,High Grade,1/144,Universal Century,4543112703842,Mobile Suit Gundam 0083: Stardust Memory,06/18/2011,¥1512
RG MS-06F Zaku II  ,Real Grade,1/144,Universal Century,4543112703880,Mobile Suit Gundam,07/23/2011,¥2700
HGUC RGM-86R GM III  ,High Grade,1/144,Universal Century,4543112703965,Mobile Suit Gundam ZZ,07/09/2011,¥1620
HGFC Shining Gundam  ,High Grade,1/144,Future Century,4543112709608,Mobile Fighter G Gundam,08/27/2011,¥1620
HGFC Master Gundam & Fuunsaiki  ,High Grade,1/144,Future Century,4543112709615,Mobile Fighter G Gundam,08/27/2011,¥2808
MG MSN-001A1 Delta Plus  ,Master Grade,1/100,Universal Century,4543112709622,Mobile Suit Gundam UC,08/06/2011,¥4860
SD Kshatriya  ,Super Deformed,No Scale,Universal Century,4543112709639,Mobile Suit Gundam UC,08/27/2011,¥1080
1/48 Mega Size Model Gundam AGE-1 Normal  ,Mega Size,1/48,Advanced Generation,4543112710635,Mobile Suit Gundam AGE,12/10/2011,¥9180
MG GN-0000/7S 00 Gundam Seven Sword/G  ,Master Grade,1/100,Anno Domini,4543112710758,Mobile Suit Gundam 00,09/23/2011,¥5940
HGFC Nobel Gundam Berserker Mode  ,High Grade,1/144,Future Century,4543112710765,Mobile Fighter G Gundam,09/10/2011,¥1620
HGUC Jesta  ,High Grade,1/144,Universal Century,4543112710772,Mobile Suit Gundam UC,09/17/2011,¥1728
SD 00 Gundam Seven Sword/G  ,Super Deformed,No Scale,Anno Domini,4543112710796,Mobile Suit Gundam 00,09/10/2011,¥864
MG Gundam Sandrock EW  ,Master Grade,1/100,After Colony,4543112715364,New Mobile Report Gundam Wing: Endless Waltz,10/29/2011,¥4104
RG ZGMF-X10A Freedom Gundam  ,Real Grade,1/144,Cosmic Era,4543112716255,Mobile Suit Gundam SEED,11/19/2011,¥2700
HGUC GM II  ,High Grade,1/144,Universal Century,4543112716309,Mobile Suit Zeta Gundam,10/22/2011,¥1512
HGUC Zee Zulu  ,High Grade,1/144,Universal Century,4543112716316,Mobile Suit Gundam UC,11/26/2011,¥2376
HGUC MS-21C DRA-C  ,High Grade,1/144,Universal Century,4543112716323,Mobile Suit Gundam 0083: Stardust Memory,11/26/2011,¥2160
MG RX-0 Full Armor Unicorn Gundam Ver.Ka  ,Master Grade,1/100,Universal Century,4543112728180,Mobile Suit Gundam UC,12/24/2011,¥8640
HG R01 Aile Strike Gundam  ,High Grade,1/144,Cosmic Era,4543112733665,Mobile Suit Gundam SEED,11/19/2011,¥1296
HG R02 Duel Gundam  ,High Grade,1/144,Cosmic Era,4543112733672,Mobile Suit Gundam SEED,11/19/2011,¥1296
HG R03 Buster Gundam  ,High Grade,1/144,Cosmic Era,4543112733689,Mobile Suit Gundam SEED,11/19/2011,¥1080
HG R04 Blitz Gundam  ,High Grade,1/144,Cosmic Era,4543112733696,Mobile Suit Gundam SEED,11/19/2011,¥1296
HG R05 Aegis Gundam  ,High Grade,1/144,Cosmic Era,4543112733702,Mobile Suit Gundam SEED,11/19/2011,¥1296
HG R06 Mobile Ginn  ,High Grade,1/144,Cosmic Era,4543112733719,Mobile Suit Gundam SEED,11/19/2011,¥1080
HGUC Unicorn Gundam 02 Banshee (Destroy Mode)  ,High Grade,1/144,Universal Century,4543112739018,Mobile Suit Gundam UC,01/08/2012,¥1944
HGUC Unicorn Gundam 02 Banshee (Unicorn Mode)  ,High Grade,1/144,Universal Century,4543112739025,Mobile Suit Gundam UC,01/08/2012,¥1728
MG Gundam Heavyarms EW  ,Master Grade,1/100,After Colony,4543112739032,New Mobile Report Gundam Wing: Endless Waltz,01/28/2012,¥4104
HG R07 Mobile Cgue  ,High Grade,1/144,Cosmic Era,4543112739162,Mobile Suit Gundam SEED,01/21/2012,¥1296
HG R08 Calamity Gundam  ,High Grade,1/144,Cosmic Era,4543112739179,Mobile Suit Gundam SEED,01/21/2012,¥1296
HG R09 Forbidden Gundam  ,High Grade,1/144,Cosmic Era,4543112739186,Mobile Suit Gundam SEED,01/21/2012,¥1620
HG R10 Raider Gundam  ,High Grade,1/144,Cosmic Era,4543112739193,Mobile Suit Gundam SEED,01/21/2012,¥1620
MG GAT-X102 Duel Gundam Assault Shroud  ,Master Grade,1/100,Cosmic Era,4543112752994,Mobile Suit Gundam SEED,02/18/2012,¥4536
HG R11 LaGOWE  ,High Grade,1/144,Cosmic Era,4543112753014,Mobile Suit Gundam SEED,02/25/2012,¥1512
HG R12 Mobile BuCUE  ,High Grade,1/144,Cosmic Era,4543112753021,Mobile Suit Gundam SEED,02/25/2012,¥1512
HG R13 Providence Gundam  ,High Grade,1/144,Cosmic Era,4543112753038,Mobile Suit Gundam SEED,02/25/2012,¥1620
HG R14 Justice Gundam  ,High Grade,1/144,Cosmic Era,4543112753045,Mobile Suit Gundam SEED,02/29/2012,¥1620
HG R15 Freedom Gundam  ,High Grade,1/144,Cosmic Era,4543112753052,Mobile Suit Gundam SEED,02/29/2012,¥1620
RG FX550 Sky Grasper Launcher/Sword Pack  ,Real Grade,1/144,Cosmic Era,4543112753069,Mobile Suit Gundam SEED,02/29/2012,¥2700
MG Gundam AGE-1 Normal  ,Master Grade,1/100,Advanced Generation,4543112753076,Mobile Suit Gundam AGE,02/25/2012,¥3780
SD Gundam AGE-1  ,Super Deformed,No Scale,Advanced Generation,4543112753137,Mobile Suit Gundam AGE,03/10/2012,¥1080
HGUC Delta Gundam  ,High Grade,1/144,Universal Century,4543112753151,Mobile Suit Gundam UC,03/08/2012,¥4536
MG RX-0 Unicorn Gundam 02 Banshee  ,Master Grade,1/100,Universal Century,4543112753168,Mobile Suit Gundam UC,03/24/2012,¥5940
MG Gundam AGE-1 Titus  ,Master Grade,1/100,Advanced Generation,4543112753175,Mobile Suit Gundam AGE,03/17/2012,¥3780
1/48 Mega Size Model Gundam AGE-2 Normal  ,Mega Size,1/48,Advanced Generation,4543112753212,Mobile Suit Gundam AGE,03/10/2012,¥9504
SD Legend BB Knight Gundam  ,Super Deformed,No Scale,SD,4543112753243,SD Gundam Gaiden,04/07/2012,¥1080
HGUC MSA-003 Nemo (Unicorn Ver.)  ,High Grade,1/144,Universal Century,4543112753311,Mobile Suit Gundam UC,04/21/2012,¥1620
MG Gundam AGE-1 Spallow  ,Master Grade,1/100,Advanced Generation,4543112753328,Mobile Suit Gundam AGE,04/28/2012,¥3780
HG R16 M1 Astray  ,High Grade,1/144,Cosmic Era,4543112757005,Mobile Suit Gundam SEED,06/23/2012,¥1512
HGUC MSM-04G Juaggu (Unicorn Ver.)  ,High Grade,1/144,Universal Century,4543112757012,Mobile Suit Gundam UC,03/30/2012,¥1836
MG GAT-X207 Blitz Gundam  ,Master Grade,1/100,Cosmic Era,4543112757029,Mobile Suit Gundam SEED,06/23/2012,¥4320
"SD Gundam AGE-2 (Normal, Double Bullet)  ",Super Deformed,No Scale,Advanced Generation,4543112757098,Mobile Suit Gundam AGE,05/12/2012,¥1080
RG RX-178 Gundam MK-II (Titans)  ,Real Grade,1/144,Universal Century,4543112757166,Mobile Suit Zeta Gundam,04/28/2012,¥2700
HGUC RAS-96 Anksha  ,High Grade,1/144,Universal Century,4543112757173,Mobile Suit Gundam UC,05/26/2012,¥2808
MG RMS-108 Marasai  ,Master Grade,1/100,Universal Century,4543112757180,Mobile Suit Zeta Gundam,05/26/2012,¥4320
HGUC Marasai (Unicorn Ver.)  ,High Grade,1/144,Universal Century,4543112757777,Mobile Suit Gundam UC,03/24/2012,¥1728
HGUC MSA-003 Nemo (Unicorn Desert Color Ver.)  ,High Grade,1/144,Universal Century,4543112757784,Mobile Suit Gundam UC,11/16/2013,¥1620
HGUC Zaku I Sniper Type (Yonem Kirks Custom)  ,High Grade,1/144,Universal Century,4543112757944,Mobile Suit Gundam UC,03/24/2012,¥1728
RG RX-178 Gundam MK-II (A.E.U.G.)  ,Real Grade,1/144,Universal Century,4543112763198,Mobile Suit Zeta Gundam,05/12/2012,¥2700
SD Legend BB Musha Gundam  ,Super Deformed,No Scale,SD,4543112764881,SD Sengokuden,07/07/2012,¥1080
"SD Gundam AGE-3 (Normal, Fortress ,Orbital)  ",Super Deformed,No Scale,Advanced Generation,4543112764898,Mobile Suit Gundam AGE,07/07/2012,¥1296
HGUC ReZEL Type-C (Defenser b Unit/General Revil)  ,High Grade,1/144,Universal Century,4543112765086,Mobile Suit Gundam UC,06/16/2012,¥2808
HGUC Zaku Mariner  ,High Grade,1/144,Universal Century,4543112765093,Mobile Suit Gundam ZZ,07/14/2012,¥1512
HGUC Base Jabber (Unicorn Ver.)  ,High Grade,1/144,Universal Century,4543112765109,Mobile Suit Gundam UC,07/14/2012,¥1080
RG ZGMF-X09A Justice Gundam  ,Real Grade,1/144,Cosmic Era,4543112765123,Mobile Suit Gundam SEED,07/28/2012,¥2700
MG Gundam AGE-2 Normal  ,Master Grade,1/100,Advanced Generation,4543112769381,Mobile Suit Gundam AGE,08/11/2012,¥4536
HGUC RX-139 Hambrabi  ,High Grade,1/144,Universal Century,4543112769572,Mobile Suit Zeta Gundam,08/25/2012,¥1836
HGUC MS-06R-1A Black Tri-Stars Zaku II  ,High Grade,1/144,Universal Century,4543112778888,Mobile Suit Gundam,02/16/2013,¥1728
MG GAT-X103 Buster Gundam  ,Master Grade,1/100,Cosmic Era,4543112779083,Mobile Suit Gundam SEED,09/22/2012,¥4320
RG 1/144 Rx-78-2 Gundam Ver GFT ,Real Grade,1/144,Universal Century,4543112779120,Mobile Suit Gundam,07/14/2012,¥2880
SD Gundam Legilis  ,Super Deformed,No Scale,Advanced Generation,4543112779151,Mobile Suit Gundam AGE,09/08/2012,¥1080
HGUC GM Sniper II  ,High Grade,1/144,Universal Century,4543112779168,Mobile Suit Gundam 0080: War in the Pocket,09/15/2012,¥1620
SD Legend BB Commando Gundam  ,Super Deformed,No Scale,SD,4543112783813,SD Command Chronicles,10/6/2012,¥1080
MG GAT-X303 Aegis Gundam  ,Master Grade,1/100,Cosmic Era,4543112783837,Mobile Suit Gundam SEED,10/27/2012,¥5184
HGUC Byarlant Custom  ,High Grade,1/144,Universal Century,4543112785336,Mobile Suit Gundam UC,11/10/2012,¥2808
MG Gundam AGE-2 Dark Hound  ,Master Grade,1/100,Advanced Generation,4543112785343,Mobile Suit Gundam AGE,11/17/2012,¥4536
RG MSZ-006 Z Gundam  ,Real Grade,1/144,Universal Century,4543112785398,Mobile Suit Zeta Gundam,11/23/2012,¥3240
SD Gundam AGE-FX  ,Super Deformed,No Scale,Advanced Generation,4543112785404,Mobile Suit Gundam AGE,11/10/2012,¥1080
MG RX-93 Nu Gundam Ver.Ka  ,Master Grade,1/100,Universal Century,4543112786043,Mobile Suit Gundam: Char's Counterattack,12/15/2012,¥7560
HGUC MSN-001X Gundam Delta Kai  ,High Grade,1/144,Universal Century,4543112796417,Mobile Suit Gundam UC,12/08/2012,¥2808
HGUC YAMS-132 Rozen Zulu  ,High Grade,1/144,Universal Century,4543112796523,Mobile Suit Gundam UC,12/29/2012,¥3024
SD Legend BB Musha Godmaru  ,Super Deformed,No Scale,SD,4543112796530,SD Sengokuden,12/29/2012,¥1080
MG OZ-00MS Tallgeese I (EW ver.)  ,Master Grade,1/100,After Colony,4543112807595,New Mobile Report Gundam Wing: Endless Waltz,01/26/2013,¥4104
SD Legend BB Devil Dragon Blade Zero Gundam  ,Super Deformed,No Scale,SD,4543112807618,SD Gundam Gaiden,01/26/2013,¥1080
MG RX-0 Unicorn Gundam 02 Banshee Titanium Finish Ver.  ,Master Grade,1/100,Universal Century,4543112807755,Mobile Suit Gundam UC,12/29/2012,¥12960
HGUC RGM-96X Jesta Cannon  ,High Grade,1/144,Universal Century,4543112813299,Mobile Suit Gundam UC,02/16/2013,¥2160
MG MSN-06S Sinanju Stein Ver.Ka  ,Master Grade,1/100,Universal Century,4543112813374,Mobile Suit Gundam UC,02/23/2013,¥7560
HGUC Unicorn Gundam 02 Banshee Norn (Unicorn Mode)  ,High Grade,1/144,Universal Century,4543112813411,Mobile Suit Gundam UC,03/09/2013,¥1836
SD Delta Plus  ,Super Deformed,No Scale,Universal Century,4543112813435,Mobile Suit Gundam UC,02/09/2013,¥1296
SD Unicorn Gundam 02 Banshee  ,Super Deformed,No Scale,Universal Century,4543112813442,Mobile Suit Gundam UC,03/09/2013,¥1296
HG R17 Perfect Strike Gundam  ,High Grade,1/144,Cosmic Era,4543112813473,Mobile Suit Gundam SEED,02/23/2013,¥1836
MG GAT-X105 Aile Strike Gundam Ver.RM  ,Master Grade,1/100,Cosmic Era,4543112813497,Mobile Suit Gundam SEED,05/25/2013,¥4536
HGUC MS-06R-1A Shin Matsunaga's Customize Zaku II  ,High Grade,1/144,Universal Century,4543112813534,Mobile Suit Gundam,03/09/2013,¥1728
HGUC MSA-003 Nemo  ,High Grade,1/144,Universal Century,4543112813862,Mobile Suit Zeta Gundam,01/26/2013,¥1620
MG RGZ-95C ReZEL Type-C (Defenser a+b Unit/General Revil)  ,Master Grade,1/100,Universal Century,4543112815224,Mobile Suit Gundam UC,03/23/2013,¥7020
SD Legend BB Zakuto (Yami Shogun)  ,Super Deformed,No Scale,SD,4543112815842,SD Sengokuden,04/13/2013,¥1080
HGUC RX-79[G]Ez-8 Gundam Ez8  ,High Grade,1/144,Universal Century,4543112815897,Mobile Suit Gundam: The 08th MS Team,04/13/2013,¥1728
MG RGM-96X Jesta  ,Master Grade,1/100,Universal Century,4543112815941,Mobile Suit Gundam UC,04/20/2013,¥4320
RG ZGMF-X42S Destiny Gundam  ,Real Grade,1/144,Cosmic Era,4543112815958,Mobile Suit Gundam SEED Destiny,04/27/2013,¥2700
MG MSN-06S Sinanju  ,Master Grade,1/100,Universal Century,4543112815972,Mobile Suit Gundam UC,03/27/2013,¥8100
SD Sazabi  ,Super Deformed,No Scale,Universal Century,4543112819413,Mobile Suit Gundam: Char's Counterattack,05/25/2013,¥1080
HG Gundam Astray Blue Frame Second L  ,High Grade,1/144,Cosmic Era,4543112819420,Mobile Suit Gundam SEED VS Astray,05/25/2013,¥1836
HGUC Full Armor Unicorn Gundam (Unicorn Mode)  ,High Grade,1/144,Universal Century,4543112819444,Mobile Suit Gundam UC,05/02/2013,¥3240
SD Legend BB Strike Ryubi Gundam  ,Super Deformed,No Scale,SD,4543112823274,BB Senshi Sangokuden,06/21/2013,¥1512
HGUC PMX-000 Messala  ,High Grade,1/144,Universal Century,4543112823281,Mobile Suit Zeta Gundam,06/15/2013,¥3240
HGUC Base Jabber Type 89  ,High Grade,1/144,Universal Century,4543112823298,Mobile Suit Gundam UC,06/15/2013,¥1296
MG Gundam AGE-2 Double Bullet  ,Master Grade,1/100,Advanced Generation,4543112823335,Mobile Suit Gundam AGE,06/21/2013,¥4536
RG RX-78 GP01 Gundam GP01 Zephyranthes  ,Real Grade,1/144,Universal Century,4543112826541,Mobile Suit Gundam 0083: Stardust Memory,07/27/2013,¥2700
RG RX-78 GP01Fb Gundam GP01 Full Vernian  ,Real Grade,1/144,Universal Century,4543112826558,Mobile Suit Gundam 0083: Stardust Memory,07/27/2013,¥2700
SD Hi-Nu Gundam  ,Super Deformed,No Scale,Universal Century,4543112836434,Mobile Suit Gundam: Char's Counterattack,07/20/2013,¥1296
MG Wing Gundam Proto Zero EW  ,Master Grade,1/100,After Colony,4543112836472,New Mobile Report Gundam Wing: Endless Waltz,10/26/2013,¥5184
MG AMS-119 Geara Doga  ,Master Grade,1/100,Universal Century,4543112836489,Mobile Suit Gundam: Char's Counterattack,07/20/2013,¥5184
MG RX-78-2 Gundam Ver.3.0  ,Master Grade,1/100,Universal Century,4543112836557,Mobile Suit Gundam,08/10/2013,¥4860
HGUC AGX-04 Gerbera Tetra  ,High Grade,1/144,Universal Century,4543112836571,Mobile Suit Gundam 0083: Stardust Memory,07/27/2013,¥1944
HGUC AMX-014 Doven Wolf (Unicorn Ver.)  ,High Grade,1/144,Universal Century,4543112836588,Mobile Suit Gundam UC,08/07/2013,¥2376
HGUC MSM-08 Zogok (Unicorn Ver.)  ,High Grade,1/144,Universal Century,4543112836595,Mobile Suit Gundam UC,09/07/2013,¥1836
HGAC XXXG-01W Wing Gundam  ,High Grade,1/144,After Colony,4543112836632,New Mobile Report Gundam Wing,09/14/2013,¥1620
HGAW GX-9901-DX Gundam Double X (Gundam DX)  ,High Grade,1/144,After War,4543112836649,After War Gundam X,10/11/2013,¥1836
MG MBF-02+EW454F Strike Rouge Otori Equipment Ver.RM  ,Master Grade,1/100,Cosmic Era,4543112844750,Mobile Suit Gundam SEED Destiny,09/28/2013,¥4536
MG MSN-04 Sazabi Ver.Ka  ,Master Grade,1/100,Universal Century,4543112851352,Mobile Suit Gundam: Char's Counterattack,12/14/2013,¥9720
RG ZGMF-X20A Strike Freedom Gundam  ,Real Grade,1/144,Cosmic Era,4543112851390,Mobile Suit Gundam SEED Destiny,11/21/2013,¥3240
HGUC Silver Bullet  ,High Grade,1/144,Universal Century,4543112851406,Mobile Suit Gundam UC Bande Dessinee,02/01/2014,¥2376
HGUC LM312V04 Victory Gundam  ,High Grade,1/144,Universal Century,4543112851413,Mobile Suit Victory Gundam,11/21/2013,¥1296
HGUC Gundam F91 (Gundam Formula 91)  ,High Grade,1/144,Universal Century,4543112851420,Mobile Suit Gundam F91,12/21/2013,¥1296
HGUC V2 Gundam  ,High Grade,1/144,Universal Century,4543112851437,Mobile Suit Victory Gundam,01/25/2014,¥1404
HGCE Aile Strike Gundam  ,High Grade,1/144,Cosmic Era,4543112851444,Mobile Suit Gundam SEED,02/08/2014,¥1404
SD Legend BB Knight Unicorn Gundam  ,Super Deformed,No Scale,SD,4543112851598,SD Gundam Gaiden,11/21/2013,¥1080
SD Xi Gundam  ,Super Deformed,No Scale,Universal Century,4543112851604,Mobile Suit Gundam: Hathaway's Flash,12/07/2013,¥1620
SD Nu Gundam  ,Super Deformed,No Scale,Universal Century,4543112851611,Mobile Suit Gundam: Char's Counterattack,01/31/2014,¥1296
MG Build Strike Gundam Full Package  ,Master Grade,1/100,Build Fighters,4543112851833,Gundam Build Fighters,01/25/2014,¥4536
MG Sengoku Astray Gundam  ,Master Grade,1/100,Build Fighters,4543112851840,Gundam Build Fighters,02/22/2014,¥5400
HGAC Wing Gundam Zero  ,High Grade,1/144,After Colony,4543112865229,New Mobile Report Gundam Wing,03/08/2014,¥1728
MG Build Gundam Mk-II  ,Master Grade,1/100,Build Fighters,4543112865274,Gundam Build Fighters,03/15/2014,¥5400
MG Universe Booster  ,Master Grade,1/100,Build Fighters,4543112865281,Gundam Build Fighters,03/15/2014,¥3024
MG Unicorn Gundam 03 Phenex  ,Master Grade,1/100,Universal Century,4543112865342,Mobile Suit Gundam UC,02/15/2014,¥12960
SD Build Strike Gundam Full Package  ,Super Deformed,No Scale,Build Fighters,4543112865366,Gundam Build Fighters,03/08/2014,¥648
MG GX-9900 Gundam X  ,Master Grade,1/100,After War,4543112865403,After War Gundam X,01/31/2014,¥4104
HGUC MS-06R-2 Johnny Ridden's Customize Zaku II  ,High Grade,1/144,Universal Century,4543112865625,Mobile Suit Gundam,11/30/2013,¥1944
Gundam Decal (MG) for Aile Strike Gundam Ver.RM  ,Master Grade,1/100,Cosmic Era,4543112865632,Mobile Suit Gundam SEED Destiny,11/21/2013,¥432
MG RX-93 Nu Gundam Ver.Ka Titanium Finish  ,Master Grade,1/100,Universal Century,4543112865755,Mobile Suit Gundam: Char's Counterattack,11/30/2013,¥17280
HGUC Gundam F91 Harrison Martin Custom  ,High Grade,1/144,Universal Century,4543112870889,Mobile Suit Crossbone Gundam,12/28/2013,¥1296
HGCE Strike Rouge  ,High Grade,1/144,Cosmic Era,4543112891624,Mobile Suit Gundam SEED,03/29/2014,¥1512
HGUC Dreissen  ,High Grade,1/144,Universal Century,4543112891792,Mobile Suit Gundam ZZ,02/22/2014,¥2160
HGUC Doven Wolf  ,High Grade,1/144,Universal Century,4543112891808,Mobile Suit Gundam ZZ,02/22/2014,¥2376
SD Sengoku Astray Gundam  ,Super Deformed,No Scale,Build Fighters,4543112894755,Gundam Build Fighters,04/12/2014,¥648
SD Full Armor Unicorn Gundam  ,Super Deformed,No Scale,Universal Century,4543112894762,Mobile Suit Gundam UC,04/19/2014,¥1620
HGCC Turn A Gundam  ,High Grade,1/144,Correct Century,4543112894809,Turn A Gundam,04/12/2014,¥1512
RG GN-001 Gundam Exia  ,Real Grade,1/144,Anno Domini,4543112894816,Mobile Suit Gundam 00,04/26/2014,¥2700
SD Unicorn Gundam 02 Banshee Norn  ,Super Deformed,No Scale,Universal Century,4543112894861,Mobile Suit Gundam UC,05/14/2014,¥1296
HGUC Full Armor Unicorn Gundam (Destroy Mode)  ,High Grade,1/144,Universal Century,4543112894878,Mobile Suit Gundam UC,04/19/2014,¥3456
